"id"	"species"	"count"	"height_from"	"height_to"	"age"
84	"Bene"	4.1666665	0.017	0.027	1
84	"Bene"	4.1666665	0.02	0.025	1
84	"Bene"	4.1666665	0.018	0.027	1
84	"Bene"	4.1666665	0.011	0.016	1
84	"Bene"	4.1666665	0.013	0.019	1
85	"Bene"	4.1666665	0.018	0.023	1
85	"Bene"	4.1666665	0.02	0.025	1
85	"Bene"	4.1666665	0.018	0.021	1
85	"Bene"	4.1666665	0.018	0.022	1
85	"Bene"	4.1666665	0.018	0.02	1
85	"Bene"	4.1666665	0.014	0.019	1
85	"Bene"	4.1666665	0.014	0.022	1
85	"Bene"	4.1666665	0.013	0.02	1
85	"Bene"	4.1666665	0.018	0.022	1
85	"Bene"	4.1666665	0.012	0.017	1
85	"Bene"	4.1666665	0.015	0.017	1
85	"Bene"	4.1666665	0.015	0.016	1
85	"Bene"	4.1666665	0.018	0.02	1
85	"Bene"	4.1666665	0.015	0.022	1
85	"Bene"	4.1666665	0.019	0.028	1
85	"Bene"	4.1666665	0.015	0.02	1
85	"Bene"	4.1666665	0.014	0.022	1
85	"Bene"	4.1666665	0.019	0.028	1
85	"Bene"	4.1666665	0.018	0.028	1
85	"Bene"	4.1666665	0.018	0.024	1
86	"Bene"	8.3333335	0.017	0.021	1
86	"Bene"	8.3333335	0.013	0.02	1
86	"Bene"	8.3333335	0.012	0.018	1
86	"Bene"	8.3333335	0.016	0.017	1
86	"Bene"	8.3333335	0.02	0.026	1
86	"Bene"	8.3333335	0.016	0.024	1
86	"Bene"	8.3333335	0.019	0.024	1
86	"Bene"	8.3333335	0.011	0.012	1
86	"Bene"	8.3333335	0.015	0.022	1
86	"Bene"	8.3333335	0.013	0.014	1
86	"Bene"	8.3333335	0.012	0.013	1
86	"Bene"	8.3333335	0.013	0.019	1
86	"Bene"	8.3333335	0.019	0.022	1
86	"Bene"	8.3333335	0.017	0.021	1
86	"Bene"	8.3333335	0.017	0.021	1
86	"Bene"	8.3333335	0.012	0.019	1
86	"Bene"	8.3333335	0.017	0.019	1
86	"Bene"	8.3333335	0.014	0.02	1
86	"Bene"	8.3333335	0.019	0.028	1
86	"Bene"	8.3333335	0.018	0.019	1
87	"Bene"	33.3333335	0.011	0.014	1
87	"Bene"	33.3333335	0.016	0.024	1
87	"Bene"	33.3333335	0.018	0.024	1
87	"Bene"	33.3333335	0.014	0.021	1
87	"Bene"	33.3333335	0.012	0.021	1
87	"Bene"	33.3333335	0.019	0.021	1
87	"Bene"	33.3333335	0.011	0.021	1
87	"Bene"	33.3333335	0.016	0.018	1
87	"Bene"	33.3333335	0.02	0.022	1
87	"Bene"	33.3333335	0.01	0.016	1
87	"Bene"	33.3333335	0.015	0.018	1
87	"Bene"	33.3333335	0.015	0.017	1
87	"Bene"	33.3333335	0.015	0.019	1
87	"Bene"	33.3333335	0.018	0.023	1
87	"Bene"	33.3333335	0.014	0.017	1
87	"Bene"	33.3333335	0.019	0.028	1
87	"Bene"	33.3333335	0.019	0.024	1
87	"Bene"	33.3333335	0.011	0.02	1
87	"Bene"	33.3333335	0.01	0.013	1
87	"Bene"	33.3333335	0.013	0.018	1
90	"Bene"	11.111111	0.015	0.017	1
90	"Bene"	11.111111	0.016	0.025	1
90	"Bene"	11.111111	0.014	0.018	1
90	"Bene"	11.111111	0.018	0.023	1
90	"Bene"	11.111111	0.012	0.014	1
90	"Bene"	11.111111	0.012	0.019	1
90	"Bene"	11.111111	0.015	0.023	1
90	"Bene"	11.111111	0.015	0.02	1
90	"Bene"	11.111111	0.011	0.019	1
90	"Bene"	11.111111	0.019	0.028	1
90	"Bene"	11.111111	0.01	0.011	1
90	"Bene"	11.111111	0.016	0.021	1
90	"Bene"	11.111111	0.018	0.027	1
90	"Bene"	11.111111	0.014	0.018	1
90	"Bene"	11.111111	0.013	0.017	1
90	"Bene"	11.111111	0.019	0.024	1
90	"Bene"	11.111111	0.017	0.022	1
90	"Bene"	11.111111	0.014	0.024	1
90	"Bene"	11.111111	0.019	0.02	1
90	"Bene"	11.111111	0.015	0.02	1
1	"Pima"	290	0.015	0.019	1
1	"Pima"	290	0.018	0.026	1
1	"Pima"	290	0.014	0.022	1
1	"Pima"	290	0.017	0.023	1
1	"Pima"	290	0.011	0.02	1
1	"Pima"	290	0.017	0.026	1
1	"Pima"	290	0.014	0.017	1
1	"Pima"	290	0.018	0.019	1
1	"Pima"	290	0.016	0.019	1
1	"Pima"	290	0.017	0.02	1
1	"Pima"	290	0.016	0.023	1
1	"Pima"	290	0.013	0.014	1
1	"Pima"	290	0.015	0.023	1
1	"Pima"	290	0.012	0.021	1
1	"Pima"	290	0.02	0.025	1
1	"Pima"	290	0.014	0.022	1
1	"Pima"	290	0.01	0.019	1
1	"Pima"	290	0.017	0.018	1
1	"Pima"	290	0.014	0.019	1
1	"Pima"	290	0.011	0.017	1
2	"Pima"	375	0.012	0.016	1
2	"Pima"	375	0.015	0.018	1
2	"Pima"	375	0.011	0.016	1
2	"Pima"	375	0.013	0.015	1
2	"Pima"	375	0.019	0.024	1
2	"Pima"	375	0.018	0.026	1
2	"Pima"	375	0.014	0.019	1
2	"Pima"	375	0.014	0.016	1
2	"Pima"	375	0.017	0.026	1
2	"Pima"	375	0.013	0.02	1
2	"Pima"	375	0.014	0.017	1
2	"Pima"	375	0.012	0.017	1
2	"Pima"	375	0.013	0.018	1
2	"Pima"	375	0.016	0.026	1
2	"Pima"	375	0.012	0.016	1
2	"Pima"	375	0.01	0.016	1
2	"Pima"	375	0.014	0.019	1
2	"Pima"	375	0.015	0.021	1
2	"Pima"	375	0.02	0.028	1
2	"Pima"	375	0.017	0.025	1
3	"Pima"	300	0.015	0.02	1
3	"Pima"	300	0.02	0.023	1
3	"Pima"	300	0.017	0.018	1
3	"Pima"	300	0.014	0.021	1
3	"Pima"	300	0.01	0.013	1
3	"Pima"	300	0.012	0.018	1
3	"Pima"	300	0.018	0.025	1
3	"Pima"	300	0.019	0.022	1
3	"Pima"	300	0.02	0.028	1
3	"Pima"	300	0.019	0.02	1
3	"Pima"	300	0.015	0.019	1
3	"Pima"	300	0.017	0.022	1
3	"Pima"	300	0.019	0.029	1
3	"Pima"	300	0.017	0.019	1
3	"Pima"	300	0.01	0.019	1
3	"Pima"	300	0.011	0.019	1
3	"Pima"	300	0.014	0.016	1
3	"Pima"	300	0.014	0.02	1
3	"Pima"	300	0.014	0.021	1
3	"Pima"	300	0.016	0.018	1
4	"Pima"	775	0.016	0.023	1
4	"Pima"	775	0.016	0.022	1
4	"Pima"	775	0.012	0.018	1
4	"Pima"	775	0.011	0.014	1
4	"Pima"	775	0.012	0.016	1
4	"Pima"	775	0.015	0.018	1
4	"Pima"	775	0.017	0.023	1
4	"Pima"	775	0.011	0.019	1
4	"Pima"	775	0.013	0.018	1
4	"Pima"	775	0.016	0.021	1
4	"Pima"	775	0.01	0.014	1
4	"Pima"	775	0.017	0.021	1
4	"Pima"	775	0.013	0.018	1
4	"Pima"	775	0.015	0.019	1
4	"Pima"	775	0.011	0.019	1
4	"Pima"	775	0.018	0.026	1
4	"Pima"	775	0.015	0.018	1
4	"Pima"	775	0.014	0.018	1
4	"Pima"	775	0.011	0.02	1
4	"Pima"	775	0.02	0.022	1
