burn,site,blk,spp,diam06,ht_new_06,diam08,ht_new_08,diam11,ht_tot_11,har11,diam13,ht13,diam15,ht15,biomass06,biomass08,biomass11,biomass13,biomass15
BF,63,14,LP,1,1.4,2.4,1.2,3.8,21.2,0,16,31,9.2,61,-1.02995,-0.077874436,0.414404672,1.784936927,1.495863151
BF,63,14,WS,1.4,0,3.4,3,4.7,36.4,0,7,41,10.2,63,-0.442825298,0.46202096,0.95456911,1.253230818,1.641554573
BF,76,1,BS,3.2,5.8,6.5,6.1,12,74,1,NA,NA,NA,NA,0.406565688,1.181396925,1.826052013,NA,NA
BF,76,1,LP,3.9,5.4,9.3,15.5,19.2,95,1,NA,NA,NA,NA,0.450117151,1.395199097,2.214931725,NA,NA
BF,76,1,PB,5.4,7.6,10.6,46.5,30,260,1,NA,NA,NA,NA,0.61470423,1.428923726,2.608495524,NA,NA
BF,76,1,TA,4.7,24.3,9.9,39.4,12,141,1,NA,NA,NA,NA,0.4470973,1.346446976,1.733781274,NA,NA
BF,76,1,WS,2.3,2.7,4.7,2.8,10,38,1,NA,NA,NA,NA,0.063426749,0.792209701,1.445377788,NA,NA
BF,76,2,BS,4.5,20.3,6.2,8,10.9,74.6,1,NA,NA,NA,NA,0.779330889,1.129731165,1.75710266,NA,NA
BF,76,2,LP,6,13.4,11.4,16,16.4,74.5,1,NA,NA,NA,NA,0.918595202,1.616613731,2.026538976,NA,NA
BF,76,2,PB,7.4,21,15.1,53.2,45.4,321,1,NA,NA,NA,NA,0.995078181,1.856089379,3.05014915,NA,NA
BF,76,2,TA,6.6,30.7,12.4,42.3,18.2,182.5,1,NA,NA,NA,NA,0.856959059,1.618267995,2.206654505,NA,NA
BF,76,2,WS,3.9,2.4,9.6,15.8,11,60.4,1,NA,NA,NA,NA,0.601934714,1.520530905,1.669692805,NA,NA
BF,76,3,BS,2.9,9.3,5.7,10.8,9.8,52.5,1,NA,NA,NA,NA,0.298932447,1.037795654,1.570250854,NA,NA
BF,76,3,LP,3.8,9.3,7.4,17,16.6,110.7,1,NA,NA,NA,NA,0.421868711,1.146667072,2.135691475,NA,NA
BF,76,3,PB,7.9,18,15.6,49.5,45.9,233,1,NA,NA,NA,NA,1.074009931,1.895416171,2.911332336,NA,NA
BF,76,3,TA,8.4,27.6,11.5,26.5,13.2,140.8,1,NA,NA,NA,NA,1.148096103,1.527304215,1.823143139,NA,NA
BF,76,3,WS,4.7,16.6,7.9,10.5,14.9,62.4,1,NA,NA,NA,NA,0.792209701,1.321777149,1.854901682,NA,NA
BF,76,4,BS,3.9,14,6.3,9.8,13,79,1,NA,NA,NA,NA,0.622866076,1.147225754,1.90491368,NA,NA
BF,76,4,LP,4.2,7.8,15.4,20.8,46,237.5,1,NA,NA,NA,NA,0.530709851,1.943685011,3.101310671,NA,NA
BF,76,4,PB,3.9,9.5,8.9,18,23.9,228.8,1,NA,NA,NA,NA,0.221845931,1.217897377,2.364987949,NA,NA
BF,76,4,TA,5.1,17.2,10.7,5,11.1,136.9,1,NA,NA,NA,NA,0.545701121,1.440259262,1.65112495,NA,NA
BF,76,4,WS,2.4,3.9,5.7,9.2,12.1,74,1,NA,NA,NA,NA,0.106827819,0.988927307,1.794712868,NA,NA
BF,76,5,BS,1.3,0.6,1.3,0,NA,NA,0,NA,NA,NA,NA,-0.578343937,-0.578343937,NA,NA,NA
BF,76,5,LP,2,0.9,4.5,0,5.5,28.5,1,NA,NA,NA,NA,-0.276149819,0.605739859,0.83351911,NA,NA
BF,76,5,PB,2.5,0.3,1,0.5,NA,NA,0,NA,NA,NA,NA,-0.31499024,-1.42116,NA,NA,NA
BF,76,5,TA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF,76,5,WS,2,1,9.7,0.5,NA,NA,0,NA,NA,NA,NA,-0.079098457,1.531098577,NA,NA,NA
BF,76,6,BS,1.5,2.5,4.8,5,10.3,71.5,1,NA,NA,NA,NA,-0.421879124,0.849896564,1.702114609,NA,NA
BF,76,6,LP,1.3,1.1,2.5,2.3,14.8,72.1,1,NA,NA,NA,NA,-0.74462787,-0.033480362,1.933895864,NA,NA
BF,76,6,PB,3.7,5.1,10.5,33.2,40.9,217.2,1,NA,NA,NA,NA,0.15829306,1.417480742,2.784138305,NA,NA
BF,76,6,TA,2.6,6.2,5.3,15.6,9.7,74.1,1,NA,NA,NA,NA,-0.267641986,0.592138606,1.33275237,NA,NA
BF,76,6,WS,1.5,1.3,2.9,0,3,17.2,0,NA,NA,NA,NA,-0.372468354,0.299811363,0.302359441,NA,NA
BF,76,7,BS,4.1,17.9,5.8,8.1,11.2,66.8,1,NA,NA,NA,NA,0.677546893,1.056811585,1.743870104,NA,NA
BF,76,7,LP,4.1,13.5,10,19,27,139.1,1,NA,NA,NA,NA,0.504503672,1.47412,2.576144798,NA,NA
BF,76,7,PB,4.1,16.9,9.1,26,22.2,174,1,NA,NA,NA,NA,0.282219798,1.24472572,2.188420387,NA,NA
BF,76,7,TA,5.2,47.5,10.6,41.3,14.4,146,1,NA,NA,NA,NA,0.569143134,1.428923726,1.916432774,NA,NA
BF,76,7,WS,3.8,13.8,9.7,16.5,10.4,57.3,1,NA,NA,NA,NA,0.575445661,1.531098577,1.618360141,NA,NA
BF,76,8,BS,1.9,10,4.2,13,7.8,68.6,0,11,95,17.8,175,-0.163414359,0.703894878,1.48226087,1.837119136,2.36489946
BF,76,8,LP,3,15.3,12.2,20.5,43.1,220.2,0,57,320,NA,NA,0.16479502,1.690371061,3.036677486,3.319593278,NA
BF,76,8,PB,5.9,18.3,14.8,27,46.7,301,0,60,380,NA,NA,0.721608171,1.831863301,3.044153712,3.365517271,NA
BF,76,8,TA,3.3,19.4,6.1,13.5,8.6,93.4,0,12,130,NA,NA,0.020173939,0.761852756,1.291496275,1.708462097,NA
BF,76,8,WS,2.4,13.9,5.3,11,7.5,60.1,0,9,72,NA,NA,0.106827819,0.914729412,1.447273327,1.620389623,NA
BF,76,9,BS,3,11,8.2,11,11.1,92.2,0,13,124,16.8,154,0.336000013,1.435426031,1.834705325,2.038821847,2.286926694
BF,76,9,LP,5.2,15.2,13.8,16.5,41.3,204,0,54,330,NA,NA,0.762972493,1.824387024,2.988609597,3.285163005,NA
BF,76,9,PB,5,17.7,9.1,26.2,43.4,269,0,57,354,NA,NA,0.52179488,1.24472572,2.931061093,3.288247247,NA
BF,76,9,TA,7.9,32.7,12.9,39,25.5,214,0,30,330,NA,NA,1.074009931,1.665990641,2.574061865,2.862201341,NA
BF,76,9,WS,4.5,13.6,6.2,17,13.8,95.6,0,16,128,NA,NA,0.747864836,1.07467285,1.952471037,2.122616966,NA
BF,76,10,BS,3,17,6.6,13,11,90.1,0,16,153,14.7,115,0.336000013,1.198090203,1.821075221,2.250078441,2.105781792
BF,76,10,LP,4.2,12.5,15.7,15.5,36.5,153.3,0,46,209,NA,NA,0.530709851,1.964666443,2.833996737,3.076128491,NA
BF,76,10,PB,5.9,13,10.7,12.5,30.6,207,0,39,340,NA,NA,0.721608171,1.440259262,2.524626384,2.948172151,NA
BF,76,10,TA,5.4,28,7.6,25,10,69.2,0,11,146,NA,NA,0.61470423,1.027272775,1.340126149,1.66265859,NA
BF,76,10,WS,3.1,13.5,11.1,10,10.3,120.3,0,12,111,NA,NA,0.367821307,1.66858334,1.881640574,1.930554407,NA
BF,76,11,BS,3.7,12.1,9.3,8,16.3,84.3,0,21,110,8.7,48,0.565306025,1.573062041,2.091145242,2.352620455,1.452485317
BF,76,11,LP,4.1,10.9,16.9,16.5,42.8,216,0,53,330,75.8,481,0.504503672,2.04476426,3.027476211,3.271283835,3.601302144
BF,76,11,WS,3.5,3.9,9.1,7,14.1,86.9,0,16,90,22.4,198,0.491581616,1.465984684,1.932385034,2.01135048,2.411786867
BF,76,12,BS,2.6,15.5,5.9,9,10.7,104.6,0,12,135,17.5,82,0.1795352,1.075502442,1.846089948,2.006336276,2.135644733
BF,76,12,LP,4,11.5,11.3,22,41.2,173.5,0,48,197,40.6,303,0.477650362,1.607032138,2.953910009,3.09723404,3.056011317
BF,76,12,WS,5.2,12.5,10.4,12,11.8,96.5,0,15,117,17.1,134,0.895304611,1.602156154,1.873227428,2.061602732,2.169747984
BF,76,13,BS,3,9,4.3,5.5,11.1,104.8,0,15,120,11.7,57,0.336000013,0.729622853,1.873471711,2.132892771,1.728745505
BF,76,13,LP,3.5,10.2,13.8,13,38.7,232.3,0,50,320,67.8,481,0.332434468,1.824387024,2.965457029,3.222091282,3.520691292
BF,76,13,WS,2,4,5.9,6,7.8,72.9,0,16,80,13,97,-0.079098457,1.024095317,1.545553944,1.974142819,1.925913621
BF,76,14,BS,1.7,0,5.2,2.5,8.3,56.1,0,10,71,NA,NA,-0.285027187,0.937414338,1.465611446,1.677977639,NA
