"TSF","species","height","dbh","basal","height_sd","dbh_sd","basal_sd","Scenario"
21,"Pigl",101.160685948807,1.19353563924599,0.00744236484141015,14.6115432324804,0.213380915578358,0.00442200375011284,"Exclosure"
21,"Pima",78.8987671781861,1.84915944731083,0.0155229449523869,38.3830440642316,1.48207386571307,0.0179775844915672,"Exclosure"
21,"Potr",275.691504906835,1.62384406799685,0.0161869592959407,67.5599700100208,0.399346872751045,0.016051419277242,"Exclosure"
22,"Bene",238.917297329,2.2276749817102,0.0235000185417058,99.5820316667251,0.936758800411426,0.0491358977825037,"Exclosure"
22,"Pigl",104.120157860789,1.2281924869452,0.00747325457991418,17.2284638140426,0.245549898729751,0.00426991835736504,"Exclosure"
22,"Pima",86.0654131136534,1.72116787168448,0.0152538174909483,36.7439461279748,1.33478326891182,0.0183512523246158,"Exclosure"
22,"Potr",278.67238812335,1.6414980781883,0.01534361260259,68.549558226463,0.406181029211227,0.0160805339755164,"Exclosure"
23,"Bene",238.46638767751,2.23164524748697,0.0254601792159681,99.9513266791118,0.967408800002935,0.0596763083762154,"Exclosure"
23,"Pigl",107.279676215275,1.26472798607029,0.00756623339925078,19.4151687668467,0.258241159559939,0.00416442501945672,"Exclosure"
23,"Pima",90.0382474653592,1.71221429385822,0.0148712308879031,37.4810046625105,1.27960657309945,0.0182884794334755,"Exclosure"
23,"Potr",283.299774671213,1.66886647447674,0.014310595921689,69.672538122006,0.413786985502347,0.0160738274653505,"Exclosure"
24,"Bene",235.989941120276,2.21038510185636,0.0254593212472527,99.5934964901356,0.965230633821732,0.061272502124025,"Exclosure"
24,"Pigl",110.835869711652,1.30611987560351,0.00751036123299888,22.1198811741416,0.280523035196767,0.0041470403456381,"Exclosure"
24,"Pima",94.587291541696,1.68287021059283,0.0146102161810328,37.6317861469142,1.20395152800859,0.0183325850098053,"Exclosure"
24,"Potr",285.698955635475,1.68306463101265,0.0132428133573493,70.643281086305,0.420134950208819,0.0159371872375665,"Exclosure"
25,"Bene",235.440952990663,2.20769318689145,0.0256992372059025,99.2318014376852,0.974570631716725,0.0640992394069892,"Exclosure"
25,"Pigl",115.096961737768,1.35626817964899,0.00740849437467255,24.9569718348239,0.315652374291062,0.00415938984415601,"Exclosure"
25,"Pima",99.7658494424748,1.65636707318326,0.0147626984638917,37.6479355857787,1.13196354246709,0.0189190698059832,"Exclosure"
25,"Potr",286.66834699563,1.6888904746854,0.0122191221688125,71.3261773124334,0.425008896150276,0.0162125896540959,"Exclosure"
26,"Bene",240.050382112656,2.28708230607219,0.0254603823382324,98.3240366090758,1.00482178078488,0.0736237526450427,"Exclosure"
26,"Pigl",118.893828639687,1.40092353682149,0.00730241674829268,27.9097715887408,0.350875629826487,0.00420210509038998,"Exclosure"
26,"Pima",103.281620930768,1.66518274027675,0.0145612076606349,38.9030880482519,1.09293370444073,0.0198149146094588,"Exclosure"
26,"Potr",285.093650419547,1.67982419871594,0.0104973983412012,71.6188661109855,0.428032782877191,0.0162585012658631,"Exclosure"
27,"Bene",239.526646119765,2.28948602304177,0.0253223675037085,97.7602292007064,1.010868062396,0.0741309588477944,"Exclosure"
27,"Pigl",121.393650644316,1.43047575057626,0.00720636285917302,30.2636726229318,0.382107152946095,0.00425331325096547,"Exclosure"
27,"Pima",107.043156556017,1.64495523519085,0.0143265233829836,38.9678882560048,1.04316995046373,0.0199620085004793,"Exclosure"
27,"Potr",283.338215988133,1.66964072860673,0.00997711569175404,71.976096778608,0.431448504079487,0.0171194927133731,"Exclosure"
