burn	site	blk	spp	diam06	ht_new_06	diam08	ht_new_08	diam11	ht11	diam13	ht13	diam15	ht15
BF	91	11	BS	0.9	1.3	2.7	0.4	NA	NA	NA	NA	NA	NA
BF	91	12	BS	1	1	NA	NA	NA	NA	NA	NA	NA	NA
BF	91	13	BS	1.2	1.3	2.4	1	2.1	10.4	0.3	10		
BF	91	14	BS	1.3	0.8	7.8	1	2.2	14.1	0.4	10	1.64	118
BF	92	8	BS	1.2	2.1	4.3	3	3.4	21.5	0.5	25	1.80	92
BF	92	9	BS	1.3	2.2	3.9	3.5	4.6	21.6	0.6	28		
BF	92	10	BS	1	1.2	3.3	1.5	5.5	39.4	0.7	52	2.09	134
BF	92	11	BS	1.3	2	5.5	2.5	6	51.2	1.5	68		
BF	92	12	BS	1.1	2	3.4	4.5	5.5	49.5	1.1	49		
BF	92	13	BS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BF	92	14	BS	2.1	4.2	5.2	14.5	11.6	81	1.4	99		
TC	1	8	LP	0.8	0	NA	NA	NA	NA	NA	NA	NA	NA
TC	1	9	LP	2.5	3	3.7	0.4	3.8	8.5	0.5	18	0.62	23
TC	1	10	LP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TC	1	11	LP	1.7	1	NA	NA	6.6	26.5	1.21	58	2.82	113
TC	1	12	LP	1.7	1.4	NA	NA	NA	NA	NA	NA	NA	NA
TC	1	13	LP	2	2.7	3.2	2.5	3.8	8	0.3	12	0.8	23
TC	1	14	LP	1.7	0.3	NA	NA	NA	NA	NA	NA	NA	NA
TC	4	8	LP	1.8	0	NA	NA	NA	NA	NA	NA	NA	NA
TC	4	9	LP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TC	4	10	LP	1.6	2	3.2	0.5	5.6	34.9	0.78	53	1.11	60
TC	4	11	LP	2	2.1	NA	NA	NA	NA	NA	NA	NA	NA
TC	4	12	LP	1.7	1.2	4.3	2.4	NA	NA	NA	NA	NA	NA
TC	4	13	LP	1.5	1.2	3.4	1	6.4	30.9	0.74	36	0.84	40
TC	4	14	LP	1.4	0	3	2	NA	NA			0.44	15
TC	8	8	LP	2.2	2	2.7	1.5	4.8	25	0.6	39	0.95	50
TC	8	9	LP	1.7	2.4	5.8	2.1	9.8	52.6	1.27	71	2.32	105
TC	8	10	LP	2.6	0	NA	NA	NA	NA	NA	NA	NA	NA
TC	8	11	LP	1.9	2.2	2.4	1.6	NA	NA	0.29	16	0.42	22
TC	8	12	LP	2.2	1.1	NA	NA	NA	NA	NA	NA	NA	NA
TC	8	13	LP	1.7	3.9	2	1.5	2.8	13.6	0.22	14	0.35	19
TC	8	14	LP	2.3	1.7	3.3	1.2	3.4	18.1	0.38	21	0.49	27
TC	10	8	LP	1.8	1.3	NA	NA	NA	NA	NA	NA	NA	NA
TC	10	9	LP	2.8	4.9	3.3	4	6.9	29.2	0.72	29	0.98	41
TC	10	10	LP	1.6	1.1	NA	NA	NA	NA	NA	NA	NA	NA
TC	10	11	LP	2.9	3.6	3.1	4	NA	NA	NA	NA	NA	NA
TC	10	12	LP	NA	NA	2.2	0.9	3.1	24.1	0.44	22	0.58	40
TC	10	13	LP	1.8	3.1	3.9	3.5	6.4	47.4	1.04	75	2.05	111
TC	10	14	LP	1.8	1.9	2.3	1	2	13	0.48	19	0.49	27
TC	13	8	LP	2.3	3.5	4.7	4	7.7	40.5	1.21	64		
TC	13	9	LP	1.9	2.1	3.6	3	3.8	13.1	0.41	21		
TC	13	10	LP	2.2	2.3	4.5	3	7.8	24.7	1.19	49		
TC	13	11	LP	2.5	2.8	6.8	4	6.5	22.6	1.01	34	1.1	49
TC	13	12	LP	1.6	3.1	3.8	4.5	3.9	19.6	0.51	25	0.81	39
TC	13	13	LP	1.5	2.6	1.7	2.2	3.5	18.1	0.35	21	0.44	15
TC	13	14	LP	2.2	3.7	4.3	4	4.6	31.4	0.68	40	0.8	54
TC	14	8	LP	1.8	1.8	5.5	4	7.8	75.5	2.58	112	4.64	161
TC	14	9	LP	1.4	2.3	4.9	2	6.5	41.9	0.78	50	1.08	73
TC	14	10	LP	2	2.6	6.3	4	20.2	84	1.51	131	5.46	184
TC	14	11	LP	1.7	0	3.7	0.5	6.7	37.5	1.06	65	1.88	99
TC	14	12	LP	1.7	2.2	4.4	2.2	15.5	80.5	2.05	88	2.93	147
TC	14	13	LP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TC	14	14	LP	1.8	2.2	5.4	2	9.6	43.5	1.11	62	1.75	94
TC	19	8	LP	2	2.4	5.2	2	18.7	70.2	NA	NA	4.34	176
TC	19	9	LP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TC	19	10	LP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TC	19	11	LP	1.8	1.3	2.7	2	9.2	36	NA	NA	2.32	94
TC	19	12	LP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TC	19	13	LP	1.3	2.2	4.8	3.3	11.9	65.5	NA	NA	2.14	106
TC	19	14	LP	1.8	2	4.8	4.1	10.6	44.5	NA	NA	1.68	92
TC	23	8	LP	1.7	2.6	5.3	2.5	21	101.4	3.45	168	6.29	255
TC	23	9	LP	1.6	3.5	4.9	1.9	19.1	88.6	2.84	140	5.19	227
TC	23	10	LP	2.3	4.1	5.1	8	17.3	91.5	2.61	150	4.27	201
TC	23	11	LP	1.6	2.2	5.1	2.4	11.6	45.4	1.56	70	2.22	82
