burn	site	block	spp	Ht (cm)	BD (cm)	DBH (cm)
DC	34	8	LP	68	1.82	
DC	34	9	LP	42	0.88	
DC	34	10	LP	29	0.71	
DC	34	11	LP			
DC	34	12	LP	25	0.39	
DC	34	13	LP	57	1.50	
DC	34	14	LP			
DC	35	8	LP	64	1.11	
DC	35	9	LP	164	4.61	1.68
DC	35	10	LP	117	3.06	
DC	35	11	LP	155	2.83	1.16
DC	35	12	LP	124	2.90	
DC	35	13	LP	112	2.62	
DC	35	14	LP	76	1.42	
DC	37	8	LP	36	0.66	
DC	37	9	LP			
DC	37	10	LP	106	1.34	
DC	37	11	LP	39	0.56	
DC	37	12	LP			
DC	37	13	LP	71	1.02	
DC	37	14	LP	99	2.20	
DC	39	8	LP	126	3.12	
DC	39	9	LP	82	2.61	
DC	39	10	LP	128	4.18	
DC	39	11	LP	40	0.90	
DC	39	12	LP	185	5.22	0.55
DC	39	13	LP			
DC	39	14	LP	158	5.16	1.12
DC	40	8	LP	90	2.27	
DC	40	9	LP	32	0.58	
DC	40	10	LP	22	0.52	
DC	40	11	LP	153	4.00	0.9
DC	40	12	LP	69	2.54	
DC	40	13	LP	19	0.36	
DC	40	14	LP	151	5.32	1.01
DC	42	8	LP	148	3.55	0.61
DC	42	9	LP	126	3.28	
DC	42	10	LP	113	3.61	
DC	42	11	LP	43	0.90	
DC	42	12	LP	122	3.54	
DC	42	13	LP	141	4.88	0.54
DC	42	14	LP	183	5.76	1.84
DC	44	8	LP	167	3.67	1.01
DC	44	9	LP	51	1.01	
DC	44	10	LP	98	2.39	
DC	44	11	LP			
DC	44	12	LP	117	2.19	
DC	44	13	LP	100	2.75	
DC	44	14	LP	116	3.30	
DC	46	8	LP			
DC	46	9	LP	163	4.78	0.75
DC	46	10	LP	181	3.60	1.1
DC	46	11	LP	129	5.12	
DC	46	12	LP	128	3.50	
DC	46	13	LP	158	4.75	
DC	46	14	LP	138	5.32	
DC	49	8	LP			
DC	49	9	LP	74	1.06	
DC	49	10	LP	62	0.94	
DC	49	11	LP	85	2.52	
DC	49	12	LP			
DC	49	13	LP			
DC	49	14	LP	60	1.67	
DC	51	8	LP	82	2.32	
DC	51	9	LP	71	1.78	
DC	51	10	LP	185	4.06	1.49
DC	51	11	LP	233	5.29	1.75
DC	51	12	LP	176	5.04	1.49
DC	51	13	LP	242	5.45	2.46
DC	51	14	LP	81	2.89	
DC	53	8	LP			
DC	53	9	LP			
DC	53	10	LP			
DC	53	11	LP	96	1.31	
DC	53	12	LP	215	3.14	1.55
DC	53	13	LP	33	0.49	
DC	53	14	LP	113	1.87	
DC	54	8	LP			
DC	54	9	LP	80	2.37	
DC	54	10	LP			
DC	54	11	LP			
DC	54	12	LP			
DC	54	13	LP			
DC	54	14	LP			
BF	61	8	LP			
BF	61	9	LP			
BF	61	10	LP			
BF	61	11	LP	76	1.49	
BF	61	12	LP	39	0.98	
BF	61	13	LP	116	2.76	
BF	61	14	LP	61	0.85	
BF	62	8	LP			
BF	62	9	LP			
BF	62	10	LP			
BF	62	11	LP	183	3.97	1.68
BF	62	12	LP	160	3.75	1.22
BF	62	13	LP	73	1.51	
BF	62	14	LP	122	1.90	
BF	63	8	LP			
BF	63	9	LP			
BF	63	10	LP			
BF	63	11	LP	42	0.82	
BF	63	12	LP	96	1.50	
BF	63	13	LP	148	2.49	0.75
BF	63	14	LP	61	0.92	
BF	76	8	LP			
BF	76	9	LP			
BF	76	10	LP			
BF	76	11	LP	481	7.58	5.18
BF	76	12	LP	303	4.06	3.13
BF	76	13	LP	481	6.78	4.65
BF	76	14	LP	336	9.85	4.72
BF	78	8	LP	99	2.06	
BF	78	9	LP	122	2.19	
BF	78	10	LP			
BF	78	11	LP	102	2.38	
BF	78	12	LP			
BF	78	13	LP			
BF	78	14	LP			
BF	79	8	LP			
BF	79	9	LP			
BF	79	10	LP			
BF	79	11	LP	176	2.93	1.3
BF	79	12	LP	361	7.19	4.9
BF	79	13	LP	425	7.78	5.17
BF	79	14	LP	396	10.18	5.71
BF	81	8	LP			
BF	81	9	LP			
BF	81	10	LP			
BF	81	11	LP	409	7.62	4.53
BF	81	12	LP	205	2.91	1.69
BF	81	13	LP	269	5.88	2.86
BF	81	14	LP	194	5.79	3.68
BF	84	8	LP	24	0.42	
BF	84	9	LP			
BF	84	10	LP			
BF	84	11	LP	52	missed	
BF	84	12	LP			
BF	84	13	LP	18	0.44	
BF	84	14	LP	74	1.17	
BF	86	8	LP			
BF	86	9	LP			
BF	86	10	LP			
BF	86	11	LP	321	6.48	3.31
BF	86	12	LP	376	6.13	3.98
BF	86	13	LP	287	3.17	2.2
BF	86	14	LP	185	2.45	1.2
BF	87	8	LP			
BF	87	9	LP			
BF	87	10	LP			
BF	87	11	LP	188	2.30	1.15
BF	87	12	LP	357	4.90	3.51
BF	87	13	LP	353	6.30	4.29
BF	87	14	LP	431	7.28	5.47
BF	91	8	LP			
BF	91	9	LP	103	2.34	
BF	91	10	LP			
BF	91	11	LP			
BF	91	12	LP	38	0.76	
BF	91	13	LP	38	0.49	
BF	91	14	LP	75	1.45	
BF	92	8	LP			
